,movieId,title,genres,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir
0,1.0,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.0,Grumpier Old Men (1995),"['Comedy', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,Waiting to Exhale (1995),"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5.0,Father of the Bride Part II (1995),['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.0,Heat (1995),"['Action', 'Crime', 'Thriller']",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
6,7.0,Sabrina (1995),"['Comedy', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.0,Tom and Huck (1995),"['Adventure', 'Children']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9.0,Sudden Death (1995),['Action'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,10.0,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10,11.0,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12.0,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13.0,Balto (1995),"['Adventure', 'Animation', 'Children']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.0,Nixon (1995),['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,15.0,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,16.0,Casino (1995),"['Crime', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,17.0,Sense and Sensibility (1995),"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
